char	unicode	big5	category	dfs_code	compat_class	slot_source	t2s	note
├	U+251C	A275	symbol	$0484	base-exact	base-compatible	├	
０	U+FF10	A2AF	fullwidth	$01E6	base-exact	base-compatible	０	
１	U+FF11	A2B0	fullwidth	$01E7	base-exact	base-compatible	１	
２	U+FF12	A2B1	fullwidth	$01E8	base-exact	base-compatible	２	
３	U+FF13	A2B2	fullwidth	$01E9	base-exact	base-compatible	３	
４	U+FF14	A2B3	fullwidth	$01EA	base-exact	base-compatible	４	
５	U+FF15	A2B4	fullwidth	$01EB	base-exact	base-compatible	５	
６	U+FF16	A2B5	fullwidth	$01EC	base-exact	base-compatible	６	
７	U+FF17	A2B6	fullwidth	$01ED	base-exact	base-compatible	７	
８	U+FF18	A2B7	fullwidth	$01EE	base-exact	base-compatible	８	
９	U+FF19	A2B8	fullwidth	$01EF	base-exact	base-compatible	９	
Ⅰ	U+2160	A2B9	number	$01C9	base-exact	base-compatible	Ⅰ	
Ⅱ	U+2161	A2BA	number	$01CA	base-exact	base-compatible	Ⅱ	
Ⅲ	U+2162	A2BB	number	$01CB	base-exact	base-compatible	Ⅲ	
Ⅳ	U+2163	A2BC	number	$01CC	base-exact	base-compatible	Ⅳ	
Ⅴ	U+2164	A2BD	number	$01CD	base-exact	base-compatible	Ⅴ	
Ⅵ	U+2165	A2BE	number	$01CE	base-exact	base-compatible	Ⅵ	
Ⅶ	U+2166	A2BF	number	$01CF	base-exact	base-compatible	Ⅶ	
Ⅷ	U+2167	A2C0	number	$01D0	base-exact	base-compatible	Ⅷ	
Ⅸ	U+2168	A2C1	number	$01D1	base-exact	base-compatible	Ⅸ	
Ⅹ	U+2169	A2C2	number	$01D2	base-exact	base-compatible	Ⅹ	
十	U+5341	A2CC	cjk	$0FA6	base-exact	base-compatible	十	
卄	U+5344	A2CD	cjk	$140A	cjk-extension	extension-page	卄	new/expanded DFS page
卅	U+5345	A2CE	cjk	$1976	base-exact	base-compatible	卅	
Ａ	U+FF21	A2CF	fullwidth	$01F7	base-exact	base-compatible	Ａ	
Ｂ	U+FF22	A2D0	fullwidth	$01F8	base-exact	base-compatible	Ｂ	
Ｃ	U+FF23	A2D1	fullwidth	$01F9	base-exact	base-compatible	Ｃ	
Ｄ	U+FF24	A2D2	fullwidth	$01FA	base-exact	base-compatible	Ｄ	
Ｅ	U+FF25	A2D3	fullwidth	$01FB	base-exact	base-compatible	Ｅ	
Ｆ	U+FF26	A2D4	fullwidth	$01FC	base-exact	base-compatible	Ｆ	
Ｇ	U+FF27	A2D5	fullwidth	$0201	base-exact	base-compatible	Ｇ	
Ｈ	U+FF28	A2D6	fullwidth	$0202	base-exact	base-compatible	Ｈ	
Ｉ	U+FF29	A2D7	fullwidth	$0203	base-exact	base-compatible	Ｉ	
Ｊ	U+FF2A	A2D8	fullwidth	$0204	base-exact	base-compatible	Ｊ	
Ｋ	U+FF2B	A2D9	fullwidth	$0205	base-exact	base-compatible	Ｋ	
Ｌ	U+FF2C	A2DA	fullwidth	$0206	base-exact	base-compatible	Ｌ	
Ｍ	U+FF2D	A2DB	fullwidth	$0207	base-exact	base-compatible	Ｍ	
Ｎ	U+FF2E	A2DC	fullwidth	$0208	base-exact	base-compatible	Ｎ	
Ｏ	U+FF2F	A2DD	fullwidth	$0209	base-exact	base-compatible	Ｏ	
Ｐ	U+FF30	A2DE	fullwidth	$020A	base-exact	base-compatible	Ｐ	
Ｑ	U+FF31	A2DF	fullwidth	$020B	base-exact	base-compatible	Ｑ	
Ｒ	U+FF32	A2E0	fullwidth	$020C	base-exact	base-compatible	Ｒ	
Ｓ	U+FF33	A2E1	fullwidth	$020D	base-exact	base-compatible	Ｓ	
Ｔ	U+FF34	A2E2	fullwidth	$020E	base-exact	base-compatible	Ｔ	
Ｕ	U+FF35	A2E3	fullwidth	$020F	base-exact	base-compatible	Ｕ	
Ｖ	U+FF36	A2E4	fullwidth	$0210	base-exact	base-compatible	Ｖ	
Ｗ	U+FF37	A2E5	fullwidth	$0211	base-exact	base-compatible	Ｗ	
Ｘ	U+FF38	A2E6	fullwidth	$0212	base-exact	base-compatible	Ｘ	
Ｙ	U+FF39	A2E7	fullwidth	$0213	base-exact	base-compatible	Ｙ	
Ｚ	U+FF3A	A2E8	fullwidth	$0217	base-exact	base-compatible	Ｚ	
ａ	U+FF41	A2E9	fullwidth	$021E	base-exact	base-compatible	ａ	
ｂ	U+FF42	A2EA	fullwidth	$021F	base-exact	base-compatible	ｂ	
ｃ	U+FF43	A2EB	fullwidth	$0220	base-exact	base-compatible	ｃ	
ｄ	U+FF44	A2EC	fullwidth	$0221	base-exact	base-compatible	ｄ	
ｅ	U+FF45	A2ED	fullwidth	$0223	base-exact	base-compatible	ｅ	
ｆ	U+FF46	A2EE	fullwidth	$0224	base-exact	base-compatible	ｆ	
ｇ	U+FF47	A2EF	fullwidth	$0225	base-exact	base-compatible	ｇ	
ｈ	U+FF48	A2F0	fullwidth	$0226	base-exact	base-compatible	ｈ	
ｉ	U+FF49	A2F1	fullwidth	$0227	base-exact	base-compatible	ｉ	
ｊ	U+FF4A	A2F2	fullwidth	$0228	base-exact	base-compatible	ｊ	
ｋ	U+FF4B	A2F3	fullwidth	$0229	base-exact	base-compatible	ｋ	
ｌ	U+FF4C	A2F4	fullwidth	$022A	base-exact	base-compatible	ｌ	
ｍ	U+FF4D	A2F5	fullwidth	$022B	base-exact	base-compatible	ｍ	
ｎ	U+FF4E	A2F6	fullwidth	$022C	base-exact	base-compatible	ｎ	
ｏ	U+FF4F	A2F7	fullwidth	$022D	base-exact	base-compatible	ｏ	
ｐ	U+FF50	A2F8	fullwidth	$022E	base-exact	base-compatible	ｐ	
ｑ	U+FF51	A2F9	fullwidth	$022F	base-exact	base-compatible	ｑ	
ｒ	U+FF52	A2FA	fullwidth	$0230	base-exact	base-compatible	ｒ	
ｓ	U+FF53	A2FB	fullwidth	$0231	base-exact	base-compatible	ｓ	
ｔ	U+FF54	A2FC	fullwidth	$0232	base-exact	base-compatible	ｔ	
ｕ	U+FF55	A2FD	fullwidth	$0233	base-exact	base-compatible	ｕ	
ｖ	U+FF56	A2FE	fullwidth	$0234	base-exact	base-compatible	ｖ	
ｗ	U+FF57	A340	fullwidth	$0235	base-exact	base-compatible	ｗ	
ｘ	U+FF58	A341	fullwidth	$0236	base-exact	base-compatible	ｘ	
ｙ	U+FF59	A342	fullwidth	$0237	base-exact	base-compatible	ｙ	
ｚ	U+FF5A	A343	fullwidth	$0238	base-exact	base-compatible	ｚ	
Α	U+0391	A344	Lu	$0313	base-exact	base-compatible	Α	
Β	U+0392	A345	Lu	$0317	base-exact	base-compatible	Β	
Γ	U+0393	A346	Lu	$0318	base-exact	base-compatible	Γ	
Δ	U+0394	A347	Lu	$0319	base-exact	base-compatible	Δ	
Ε	U+0395	A348	Lu	$031A	base-exact	base-compatible	Ε	
Ζ	U+0396	A349	Lu	$031B	base-exact	base-compatible	Ζ	
Η	U+0397	A34A	Lu	$031C	base-exact	base-compatible	Η	
Θ	U+0398	A34B	Lu	$031D	base-exact	base-compatible	Θ	
Ι	U+0399	A34C	Lu	$031E	base-exact	base-compatible	Ι	
Κ	U+039A	A34D	Lu	$031F	base-exact	base-compatible	Κ	
Λ	U+039B	A34E	Lu	$0320	base-exact	base-compatible	Λ	
Μ	U+039C	A34F	Lu	$0321	base-exact	base-compatible	Μ	
Ν	U+039D	A350	Lu	$0323	base-exact	base-compatible	Ν	
Ξ	U+039E	A351	Lu	$0324	base-exact	base-compatible	Ξ	
Ο	U+039F	A352	Lu	$0325	base-exact	base-compatible	Ο	
Π	U+03A0	A353	Lu	$0326	base-exact	base-compatible	Π	
Ρ	U+03A1	A354	Lu	$0327	base-exact	base-compatible	Ρ	
Σ	U+03A3	A355	Lu	$0328	base-exact	base-compatible	Σ	
Τ	U+03A4	A356	Lu	$0329	base-exact	base-compatible	Τ	
Υ	U+03A5	A357	Lu	$032A	base-exact	base-compatible	Υ	
Φ	U+03A6	A358	Lu	$032B	base-exact	base-compatible	Φ	
Χ	U+03A7	A359	Lu	$032C	base-exact	base-compatible	Χ	
Ψ	U+03A8	A35A	Lu	$032D	base-exact	base-compatible	Ψ	
Ω	U+03A9	A35B	Lu	$032E	base-exact	base-compatible	Ω	
α	U+03B1	A35C	Ll	$0337	base-exact	base-compatible	α	
β	U+03B2	A35D	Ll	$0338	base-exact	base-compatible	β	
γ	U+03B3	A35E	Ll	$0339	base-exact	base-compatible	γ	
δ	U+03B4	A35F	Ll	$033A	base-exact	base-compatible	δ	
ε	U+03B5	A360	Ll	$033B	base-exact	base-compatible	ε	
ζ	U+03B6	A361	Ll	$033C	base-exact	base-compatible	ζ	
η	U+03B7	A362	Ll	$033D	base-exact	base-compatible	η	
θ	U+03B8	A363	Ll	$033E	base-exact	base-compatible	θ	
ι	U+03B9	A364	Ll	$0340	base-exact	base-compatible	ι	
κ	U+03BA	A365	Ll	$0341	base-exact	base-compatible	κ	
λ	U+03BB	A366	Ll	$0342	base-exact	base-compatible	λ	
μ	U+03BC	A367	Ll	$0343	base-exact	base-compatible	μ	
ν	U+03BD	A368	Ll	$0344	base-exact	base-compatible	ν	
ξ	U+03BE	A369	Ll	$0345	base-exact	base-compatible	ξ	
ο	U+03BF	A36A	Ll	$0346	base-exact	base-compatible	ο	
π	U+03C0	A36B	Ll	$0347	base-exact	base-compatible	π	
ρ	U+03C1	A36C	Ll	$0348	base-exact	base-compatible	ρ	
σ	U+03C3	A36D	Ll	$0349	base-exact	base-compatible	σ	
τ	U+03C4	A36E	Ll	$034A	base-exact	base-compatible	τ	
υ	U+03C5	A36F	Ll	$0360	base-exact	base-compatible	υ	
φ	U+03C6	A370	Ll	$0361	base-exact	base-compatible	φ	
χ	U+03C7	A371	Ll	$0362	base-exact	base-compatible	χ	
ψ	U+03C8	A372	Ll	$0363	base-exact	base-compatible	ψ	
ω	U+03C9	A373	Ll	$0364	base-exact	base-compatible	ω	
ㄅ	U+3105	A374	bopomofo	$0411	base-exact	base-compatible	ㄅ	
ㄆ	U+3106	A375	bopomofo	$0412	base-exact	base-compatible	ㄆ	
ㄇ	U+3107	A376	bopomofo	$0413	base-exact	base-compatible	ㄇ	
ㄈ	U+3108	A377	bopomofo	$0417	base-exact	base-compatible	ㄈ	
ㄉ	U+3109	A378	bopomofo	$0418	base-exact	base-compatible	ㄉ	
ㄊ	U+310A	A379	bopomofo	$0419	base-exact	base-compatible	ㄊ	
ㄋ	U+310B	A37A	bopomofo	$041A	base-exact	base-compatible	ㄋ	
ㄌ	U+310C	A37B	bopomofo	$041B	base-exact	base-compatible	ㄌ	
ㄍ	U+310D	A37C	bopomofo	$041C	base-exact	base-compatible	ㄍ	
ㄎ	U+310E	A37D	bopomofo	$041D	base-exact	base-compatible	ㄎ	
ㄏ	U+310F	A37E	bopomofo	$041E	base-exact	base-compatible	ㄏ	
ㄐ	U+3110	A3A1	bopomofo	$041F	base-exact	base-compatible	ㄐ	
ㄑ	U+3111	A3A2	bopomofo	$0420	base-exact	base-compatible	ㄑ	
ㄒ	U+3112	A3A3	bopomofo	$0421	base-exact	base-compatible	ㄒ	
ㄓ	U+3113	A3A4	bopomofo	$0423	base-exact	base-compatible	ㄓ	
ㄔ	U+3114	A3A5	bopomofo	$0424	base-exact	base-compatible	ㄔ	
ㄕ	U+3115	A3A6	bopomofo	$0425	base-exact	base-compatible	ㄕ	
ㄖ	U+3116	A3A7	bopomofo	$0426	base-exact	base-compatible	ㄖ	
ㄗ	U+3117	A3A8	bopomofo	$0427	base-exact	base-compatible	ㄗ	
ㄘ	U+3118	A3A9	bopomofo	$0428	base-exact	base-compatible	ㄘ	
ㄙ	U+3119	A3AA	bopomofo	$0429	base-exact	base-compatible	ㄙ	
ㄚ	U+311A	A3AB	bopomofo	$042A	base-exact	base-compatible	ㄚ	
ㄛ	U+311B	A3AC	bopomofo	$042B	base-exact	base-compatible	ㄛ	
ㄜ	U+311C	A3AD	bopomofo	$042C	base-exact	base-compatible	ㄜ	
ㄝ	U+311D	A3AE	bopomofo	$042D	base-exact	base-compatible	ㄝ	
ㄞ	U+311E	A3AF	bopomofo	$042E	base-exact	base-compatible	ㄞ	
ㄟ	U+311F	A3B0	bopomofo	$042F	base-exact	base-compatible	ㄟ	
ㄠ	U+3120	A3B1	bopomofo	$0430	base-exact	base-compatible	ㄠ	
ㄡ	U+3121	A3B2	bopomofo	$0431	base-exact	base-compatible	ㄡ	
ㄢ	U+3122	A3B3	bopomofo	$0432	base-exact	base-compatible	ㄢ	
ㄣ	U+3123	A3B4	bopomofo	$0433	base-exact	base-compatible	ㄣ	
ㄤ	U+3124	A3B5	bopomofo	$0434	base-exact	base-compatible	ㄤ	
ㄥ	U+3125	A3B6	bopomofo	$0435	base-exact	base-compatible	ㄥ	
ㄦ	U+3126	A3B7	bopomofo	$0436	base-exact	base-compatible	ㄦ	
ㄧ	U+3127	A3B8	bopomofo	$0437	base-exact	base-compatible	ㄧ	
ㄨ	U+3128	A3B9	bopomofo	$0438	base-exact	base-compatible	ㄨ	
ㄩ	U+3129	A3BA	bopomofo	$0439	base-exact	base-compatible	ㄩ	
ˉ	U+02C9	A3BC	Lm	$0105	base-exact	base-compatible	ˉ	
ˇ	U+02C7	A3BE	Lm	$0106	base-exact	base-compatible	ˇ	
一	U+4E00	A440	cjk	$1301	base-exact	base-compatible	一	
乙	U+4E59	A441	cjk	$131B	base-exact	base-compatible	乙	
丁	U+4E01	A442	cjk	$073B	base-exact	base-compatible	丁	
七	U+4E03	A443	cjk	$0E2B	base-exact	base-compatible	七	
乃	U+4E43	A444	cjk	$0D3D	base-exact	base-compatible	乃	
九	U+4E5D	A445	cjk	$0ABF	base-exact	base-compatible	九	
了	U+4E86	A446	cjk	$0C01	base-exact	base-compatible	了	
二	U+4E8C	A447	cjk	$07AE	base-exact	base-compatible	二	
人	U+4EBA	A448	cjk	$0EE9	base-exact	base-compatible	人	
儿	U+513F	A449	cjk	$07A9	base-exact	base-compatible	儿	
入	U+5165	A44A	cjk	$0F0D	base-exact	base-compatible	入	
八	U+516B	A44B	cjk	$04ED	base-exact	base-compatible	八	
几	U+51E0	A44C	cjk	$09D8	base-exact	base-compatible	几	
刀	U+5200	A44D	cjk	$06EA	base-exact	base-compatible	刀	
刁	U+5201	A44E	cjk	$072F	base-exact	base-compatible	刁	
力	U+529B	A44F	cjk	$0BD8	base-exact	base-compatible	力	
匕	U+5315	A450	cjk	$1980	base-exact	base-compatible	匕	
卜	U+535C	A452	cjk	$05B3	base-exact	base-compatible	卜	
又	U+53C8	A453	cjk	$1394	base-exact	base-compatible	又	
三	U+4E09	A454	cjk	$0F23	base-exact	base-compatible	三	
下	U+4E0B	A455	cjk	$11CC	base-exact	base-compatible	下	
丈	U+4E08	A456	cjk	$1861	base-exact	base-compatible	丈	
上	U+4E0A	A457	cjk	$0F69	base-exact	base-compatible	上	
丫	U+4E2B	A458	cjk	$12A2	base-exact	base-compatible	丫	
丸	U+4E38	A459	cjk	$111F	base-exact	base-compatible	丸	
凡	U+51E1	A45A	cjk	$07C0	base-exact	base-compatible	凡	
久	U+4E45	A45B	cjk	$0ABD	base-exact	base-compatible	久	
么	U+4E48	A45C	cjk	$0CC0	base-exact	base-compatible	么	
也	U+4E5F	A45D	cjk	$12F4	base-exact	base-compatible	也	
乞	U+4E5E	A45E	cjk	$0E3E	base-exact	base-compatible	乞	
于	U+4E8E	A45F	cjk	$1398	base-exact	base-compatible	于	
亡	U+4EA1	A460	cjk	$112E	base-exact	base-compatible	亡	
兀	U+5140	A461	cjk	$1973	base-exact	base-compatible	兀	
刃	U+5203	A462	cjk	$0EEE	base-exact	base-compatible	刃	
勺	U+52FA	A463	cjk	$0F71	base-exact	base-compatible	勺	
千	U+5343	A464	cjk	$0E67	base-exact	base-compatible	千	
叉	U+53C9	A465	cjk	$05E2	base-exact	base-compatible	叉	
口	U+53E3	A466	cjk	$0B3A	base-exact	base-compatible	口	
土	U+571F	A467	cjk	$10F1	base-exact	base-compatible	土	
士	U+58EB	A468	cjk	$0FB7	base-exact	base-compatible	士	
夕	U+5915	A469	cjk	$11B0	base-exact	base-compatible	夕	
大	U+5927	A46A	cjk	$06C9	base-exact	base-compatible	大	
女	U+5973	A46B	cjk	$0D94	base-exact	base-compatible	女	
子	U+5B50	A46C	cjk	$192F	base-exact	base-compatible	子	
孑	U+5B51	A46D	cjk	$1F85	base-exact	base-compatible	孑	
孓	U+5B53	A46E	cjk	$1F86	base-exact	base-compatible	孓	
寸	U+5BF8	A46F	cjk	$06BD	base-exact	base-compatible	寸	
小	U+5C0F	A470	cjk	$120D	base-exact	base-compatible	小	
尢	U+5C22	A471	cjk	$1C10	base-exact	base-compatible	尢	
尸	U+5C38	A472	cjk	$0FA4	base-exact	base-compatible	尸	
山	U+5C71	A473	cjk	$0F42	base-exact	base-compatible	山	
川	U+5DDD	A474	cjk	$067E	base-exact	base-compatible	川	
工	U+5DE5	A475	cjk	$088C	base-exact	base-compatible	工	
己	U+5DF1	A476	cjk	$09DA	base-exact	base-compatible	己	
已	U+5DF2	A477	cjk	$131A	base-exact	base-compatible	已	
巳	U+5DF3	A478	cjk	$1026	base-exact	base-compatible	巳	
巾	U+5DFE	A479	cjk	$0A89	base-exact	base-compatible	巾	
干	U+5E72	A47A	cjk	$083D	base-exact	base-compatible	干	
廾	U+5EFE	A47B	cjk	$1C07	base-exact	base-compatible	廾	
弋	U+5F0B	A47C	cjk	$1C6A	base-exact	base-compatible	弋	
弓	U+5F13	A47D	cjk	$0895	base-exact	base-compatible	弓	
才	U+624D	A47E	cjk	$05C1	base-exact	base-compatible	才	
丑	U+4E11	A4A1	cjk	$066B	base-exact	base-compatible	丑	
丐	U+4E10	A4A2	cjk	$1974	base-exact	base-compatible	丐	
不	U+4E0D	A4A3	cjk	$05B7	base-exact	base-compatible	不	
中	U+4E2D	A4A4	cjk	$18C6	base-exact	base-compatible	中	
丰	U+4E30	A4A5	cjk	$07EF	base-exact	base-compatible	丰	
丹	U+4E39	A4A6	cjk	$06D8	base-exact	base-compatible	丹	
之	U+4E4B	A4A7	cjk	$18A4	base-exact	base-compatible	之	
尹	U+5C39	A4A8	cjk	$1347	base-exact	base-compatible	尹	
予	U+4E88	A4A9	cjk	$13A6	base-exact	base-compatible	予	
云	U+4E91	A4AA	cjk	$13E2	base-exact	base-compatible	云	
井	U+4E95	A4AB	cjk	$0AA8	base-exact	base-compatible	井	
互	U+4E92	A4AC	cjk	$0967	base-exact	base-compatible	互	
五	U+4E94	A4AD	cjk	$1191	base-exact	base-compatible	五	
亢	U+4EA2	A4AE	cjk	$0B19	base-exact	base-compatible	亢	
仁	U+4EC1	A4AF	cjk	$0EE8	base-exact	base-compatible	仁	
什	U+4EC0	A4B0	cjk	$0FAA	base-exact	base-compatible	什	
仃	U+4EC3	A4B1	cjk	$19BA	base-exact	base-compatible	仃	
仆	U+4EC6	A4B2	cjk	$0E18	base-exact	base-compatible	仆	
仇	U+4EC7	A4B3	cjk	$0668	base-exact	base-compatible	仇	
仍	U+4ECD	A4B4	cjk	$0EF2	base-exact	base-compatible	仍	
今	U+4ECA	A4B5	cjk	$0A8D	base-exact	base-compatible	今	
介	U+4ECB	A4B6	cjk	$0A85	base-exact	base-compatible	介	
仄	U+4EC4	A4B7	cjk	$1996	base-exact	base-compatible	仄	
