char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
柄	U+67C4	AC60	cjk	$0598	base-exact	柄	柄	yes	
柑	U+67D1	AC61	cjk	$0841	base-exact	柑	柑	yes	
柚	U+67DA	AC63	cjk	$2843	base-exact	柚	柚	yes	
查	U+67E5	AC64	cjk	$05E5	base-exact	查	查	yes	
枸	U+67B8	AC65	cjk	$2848	base-exact	枸	枸	yes	
柏	U+67CF	AC66	cjk	$04FA	base-exact	柏	柏	yes	
柞	U+67DE	AC67	cjk	$1967	base-exact	柞	柞	yes	
柳	U+67F3	AC68	cjk	$0C32	base-exact	柳	柳	yes	
枰	U+67B0	AC69	cjk	$283E	base-exact	枰	枰	yes	
柙	U+67D9	AC6A	cjk	$2841	base-exact	柙	柙	yes	
柢	U+67E2	AC6B	cjk	$2849	base-exact	柢	柢	yes	
柝	U+67DD	AC6C	cjk	$2845	base-exact	柝	柝	yes	
柒	U+67D2	AC6D	cjk	$0E2E	base-exact	柒	柒	yes	
歪	U+6B6A	AC6E	cjk	$1118	base-exact	歪	歪	yes	
殃	U+6B83	AC6F	cjk	$12CE	base-exact	殃	殃	yes	
殆	U+6B86	AC70	cjk	$06CF	base-exact	殆	殆	yes	
段	U+6BB5	AC71	cjk	$077E	base-exact	段	段	yes	
毒	U+6BD2	AC72	cjk	$076E	base-exact	毒	毒	yes	
毗	U+6BD7	AC73	cjk	$0DE4	base-exact	毗	毗	yes	
氟	U+6C1F	AC74	cjk	$080C	base-exact	氟	氟	yes	
泉	U+6CC9	AC75	cjk	$0EC8	base-exact	泉	泉	yes	
洋	U+6D0B	AC76	cjk	$12D7	base-exact	洋	洋	yes	
洲	U+6D32	AC77	cjk	$18D4	base-exact	洲	洲	yes	
洪	U+6D2A	AC78	cjk	$0937	base-exact	洪	洪	yes	
流	U+6D41	AC79	cjk	$0C31	base-exact	流	流	yes	
津	U+6D25	AC7A	cjk	$0A8E	base-exact	津	津	yes	
洌	U+6D0C	AC7B	cjk	$1E71	base-exact	洌	洌	yes	
洱	U+6D31	AC7C	cjk	$07AD	base-exact	洱	洱	yes	
洞	U+6D1E	AC7D	cjk	$0764	base-exact	洞	洞	yes	
洗	U+6D17	AC7E	cjk	$11BE	base-exact	洗	洗	yes	
活	U+6D3B	ACA1	cjk	$09B0	base-exact	活	活	yes	
洽	U+6D3D	ACA2	cjk	$0E62	base-exact	洽	洽	yes	
派	U+6D3E	ACA3	cjk	$0DAF	base-exact	派	派	yes	
洶	U+6D36	ACA4	cjk	$1260	base-t2s-ime-glyph-patch	汹	汹	yes	glyph patch 汹->洶
洛	U+6D1B	ACA5	cjk	$0C93	base-exact	洛	洛	yes	
泵	U+6CF5	ACA6	cjk	$0561	base-exact	泵	泵	yes	
洹	U+6D39	ACA7	cjk	$1E6F	base-exact	洹	洹	yes	
洧	U+6D27	ACA8	cjk	$1E70	base-exact	洧	洧	yes	
洮	U+6D2E	ACAB	cjk	$1E7A	base-exact	洮	洮	yes	
洵	U+6D35	ACAC	cjk	$1E7B	base-exact	洵	洵	yes	
洎	U+6D0E	ACAD	cjk	$1E77	base-exact	洎	洎	yes	
洫	U+6D2B	ACAE	cjk	$1E78	base-exact	洫	洫	yes	
炫	U+70AB	ACAF	cjk	$29DD	base-exact	炫	炫	yes	
為	U+70BA	ACB0	cjk	$1141	base-t2s-ime-glyph-patch	为	为	yes	glyph patch 为->為
炳	U+70B3	ACB1	cjk	$059C	base-exact	炳	炳	yes	
炬	U+70AC	ACB2	cjk	$0AE0	base-exact	炬	炬	yes	
炯	U+70AF	ACB3	cjk	$0AB6	base-exact	炯	炯	yes	
炭	U+70AD	ACB4	cjk	$1091	base-exact	炭	炭	yes	
炸	U+70B8	ACB5	cjk	$182A	base-exact	炸	炸	yes	
炮	U+70AE	ACB6	cjk	$0DC0	base-exact	炮	炮	yes	
爰	U+7230	ACB8	cjk	$2976	base-exact	爰	爰	yes	
牲	U+7272	ACB9	cjk	$0F96	base-exact	牲	牲	yes	
