char	unicode	big5	category	dfs_code	compat_class	t2s	base_char_at_code	ime_reserved	note
黎	U+9ECE	BEA4	cjk	$0BBC	base-exact	黎	黎	yes	
墨	U+58A8	BEA5	cjk	$0D1C	base-exact	墨	墨	yes	
齒	U+9F52	BEA6	cjk	$0640	base-t2s-ime-glyph-patch	齿	齿	yes	glyph patch 齿->齒
儒	U+5112	BEA7	cjk	$0F07	base-exact	儒	儒	yes	
儔	U+5114	BEA9	cjk	$19DF	base-t2s-ime-glyph-patch	俦	俦	yes	glyph patch 俦->儔
儐	U+5110	BEAA	cjk	$1A01	base-t2s-ime-glyph-patch	傧	傧	yes	glyph patch 傧->儐
儕	U+5115	BEAB	cjk	$19DB	base-t2s-ime-glyph-patch	侪	侪	yes	glyph patch 侪->儕
冀	U+5180	BEAC	cjk	$09DD	base-exact	冀	冀	yes	
冪	U+51AA	BEAD	cjk	$0CE9	base-t2s-ime-glyph-patch	幂	幂	yes	glyph patch 幂->冪
凝	U+51DD	BEAE	cjk	$0D85	base-exact	凝	凝	yes	
劑	U+5291	BEAF	cjk	$09E1	base-t2s-ime-glyph-patch	剂	剂	yes	glyph patch 剂->劑
劓	U+5293	BEB0	cjk	$19B6	base-exact	劓	劓	yes	
噙	U+5659	BEB2	cjk	$1CF9	base-exact	噙	噙	yes	
噫	U+566B	BEB3	cjk	$1D04	base-exact	噫	噫	yes	
噩	U+5669	BEB5	cjk	$197C	base-exact	噩	噩	yes	
噤	U+5664	BEB6	cjk	$1D02	base-exact	噤	噤	yes	
噪	U+566A	BEB8	cjk	$180B	base-exact	噪	噪	yes	
器	U+5668	BEB9	cjk	$0E44	base-exact	器	器	yes	
噥	U+5665	BEBA	cjk	$1CA2	base-t2s-ime-glyph-patch	哝	哝	yes	glyph patch 哝->噥
噱	U+5671	BEBB	cjk	$1D03	base-exact	噱	噱	yes	
噯	U+566F	BEBC	cjk	$1CE2	base-t2s-ime-glyph-patch	嗳	嗳	yes	glyph patch 嗳->噯
噬	U+566C	BEBD	cjk	$0FC1	base-exact	噬	噬	yes	
噢	U+5662	BEBE	cjk	$1CF8	base-exact	噢	噢	yes	
噶	U+5676	BEBF	cjk	$0835	base-exact	噶	噶	yes	
壁	U+58C1	BEC0	cjk	$0578	base-exact	壁	壁	yes	
墾	U+58BE	BEC1	cjk	$0B31	base-t2s-ime-glyph-patch	垦	垦	yes	glyph patch 垦->墾
壇	U+58C7	BEC2	cjk	$1085	base-t2s-ime-glyph-patch	坛	坛	yes	glyph patch 坛->壇; strict policy: canonical glyph patch for shared code $1085
壅	U+58C5	BEC3	cjk	$1ADD	base-exact	壅	壅	yes	
奮	U+596E	BEC4	cjk	$07EA	base-t2s-ime-glyph-patch	奋	奋	yes	glyph patch 奋->奮
嬴	U+5B34	BEC6	cjk	$1A2E	base-exact	嬴	嬴	yes	
學	U+5B78	BEC7	cjk	$128B	base-t2s-ime-glyph-patch	学	学	yes	glyph patch 学->學
寰	U+5BF0	BEC8	cjk	$1EEA	base-exact	寰	寰	yes	
導	U+5C0E	BEC9	cjk	$06F0	base-t2s-ime-glyph-patch	导	导	yes	glyph patch 导->導
憲	U+61B2	BECB	cjk	$11E6	base-t2s-ime-glyph-patch	宪	宪	yes	glyph patch 宪->憲
憑	U+6191	BECC	cjk	$0E06	base-t2s-ime-glyph-patch	凭	凭	yes	glyph patch 凭->憑
憩	U+61A9	BECD	cjk	$2A2A	base-exact	憩	憩	yes	
憊	U+618A	BECE	cjk	$0542	base-t2s-ime-glyph-patch	惫	惫	yes	glyph patch 惫->憊
懍	U+61CD	BECF	cjk	$1E1A	base-t2s-ime-glyph-patch	懔	懔	yes	glyph patch 懔->懍
憶	U+61B6	BED0	cjk	$132E	base-t2s-ime-glyph-patch	忆	忆	yes	glyph patch 忆->憶
憾	U+61BE	BED1	cjk	$08FC	base-exact	憾	憾	yes	
懊	U+61CA	BED2	cjk	$04E5	base-exact	懊	懊	yes	
懈	U+61C8	BED3	cjk	$1228	base-exact	懈	懈	yes	
戰	U+6230	BED4	cjk	$1840	base-t2s-ime-glyph-patch	战	战	yes	glyph patch 战->戰
擅	U+64C5	BED5	cjk	$0F48	base-exact	擅	擅	yes	
擁	U+64C1	BED6	cjk	$1373	base-t2s-ime-glyph-patch	拥	拥	yes	glyph patch 拥->擁
擋	U+64CB	BED7	cjk	$06E6	base-t2s-ime-glyph-patch	挡	挡	yes	glyph patch 挡->擋
撻	U+64BB	BED8	cjk	$1074	base-t2s-ime-glyph-patch	挞	挞	yes	glyph patch 挞->撻
撼	U+64BC	BED9	cjk	$08F9	base-exact	撼	撼	yes	
擄	U+64C4	BEDB	cjk	$0C49	base-t2s-ime-glyph-patch	掳	掳	yes	glyph patch 掳->擄
擇	U+64C7	BEDC	cjk	$1811	base-t2s-ime-glyph-patch	择	择	yes	glyph patch 择->擇
擂	U+64C2	BEDD	cjk	$0BB2	base-exact	擂	擂	yes	
操	U+64CD	BEDE	cjk	$05D5	base-exact	操	操	yes	
撿	U+64BF	BEDF	cjk	$0A18	base-t2s-ime-glyph-patch	捡	捡	yes	glyph patch 捡->撿
擒	U+64D2	BEE0	cjk	$0E9C	base-exact	擒	擒	yes	
擔	U+64D4	BEE1	cjk	$06D7	base-t2s-ime-glyph-patch	担	担	yes	glyph patch 担->擔
撾	U+64BE	BEE2	cjk	$117A	base-t2s-ime-glyph-patch	挝	挝	yes	glyph patch 挝->撾
整	U+6574	BEE3	cjk	$1893	base-exact	整	整	yes	
曆	U+66C6	BEE4	cjk	$0BCE	base-t2s-ime-glyph-patch	历	历	yes	glyph patch 历->曆; strict policy: canonical glyph patch for shared code $0BCE
曉	U+66C9	BEE5	cjk	$120C	base-t2s-ime-glyph-patch	晓	晓	yes	glyph patch 晓->曉
暹	U+66B9	BEE6	cjk	$1F0F	base-exact	暹	暹	yes	
曄	U+66C4	BEE7	cjk	$290C	base-t2s-ime-glyph-patch	晔	晔	yes	glyph patch 晔->曄
曇	U+66C7	BEE8	cjk	$28FA	base-t2s-ime-glyph-patch	昙	昙	yes	glyph patch 昙->曇
樽	U+6A3D	BEEA	cjk	$28B7	base-exact	樽	樽	yes	
樺	U+6A3A	BEEC	cjk	$286D	base-t2s-ime-glyph-patch	桦	桦	yes	glyph patch 桦->樺
橙	U+6A59	BEED	cjk	$062A	base-exact	橙	橙	yes	
橫	U+6A6B	BEEE	cjk	$092F	base-t2s-ime-glyph-patch	横	横	yes	glyph patch 横->橫
橘	U+6A58	BEEF	cjk	$28B9	base-exact	橘	橘	yes	
樹	U+6A39	BEF0	cjk	$0FEF	base-t2s-ime-glyph-patch	树	树	yes	glyph patch 树->樹
橄	U+6A44	BEF1	cjk	$28AF	base-exact	橄	橄	yes	
橢	U+6A62	BEF2	cjk	$110A	base-t2s-ime-glyph-patch	椭	椭	yes	glyph patch 椭->橢
橡	U+6A61	BEF3	cjk	$11FA	base-exact	橡	橡	yes	
橋	U+6A4B	BEF4	cjk	$0E85	base-t2s-ime-glyph-patch	桥	桥	yes	glyph patch 桥->橋
橇	U+6A47	BEF5	cjk	$0E81	base-exact	橇	橇	yes	
樵	U+6A35	BEF6	cjk	$28B4	base-exact	樵	樵	yes	
橈	U+6A48	BEF8	cjk	$2865	base-t2s-ime-glyph-patch	桡	桡	yes	glyph patch 桡->橈
歙	U+6B59	BEF9	cjk	$29C0	base-exact	歙	歙	yes	
氅	U+6C05	BEFB	cjk	$2963	base-exact	氅	氅	yes	
濂	U+6FC2	BEFC	cjk	$1ED1	base-exact	濂	濂	yes	
澡	U+6FA1	BEFE	cjk	$1808	base-exact	澡	澡	yes	
濃	U+6FC3	BF40	cjk	$0D8E	base-t2s-ime-glyph-patch	浓	浓	yes	glyph patch 浓->濃
澤	U+6FA4	BF41	cjk	$1813	base-t2s-ime-glyph-patch	泽	泽	yes	glyph patch 泽->澤
濁	U+6FC1	BF42	cjk	$1923	base-t2s-ime-glyph-patch	浊	浊	yes	glyph patch 浊->濁
澧	U+6FA7	BF43	cjk	$1ECE	base-exact	澧	澧	yes	
澳	U+6FB3	BF44	cjk	$04E6	base-exact	澳	澳	yes	
激	U+6FC0	BF45	cjk	$09C4	base-exact	激	激	yes	
澹	U+6FB9	BF46	cjk	$1ECF	base-exact	澹	澹	yes	
澶	U+6FB6	BF47	cjk	$1ED0	base-exact	澶	澶	yes	
澠	U+6FA0	BF49	cjk	$1E93	base-t2s-ime-glyph-patch	渑	渑	yes	glyph patch 渑->澠
熾	U+71BE	BF4B	cjk	$0646	base-t2s-ime-glyph-patch	炽	炽	yes	glyph patch 炽->熾
燒	U+71D2	BF4E	cjk	$0F6F	base-t2s-ime-glyph-patch	烧	烧	yes	glyph patch 烧->燒
燈	U+71C8	BF4F	cjk	$06FA	base-t2s-ime-glyph-patch	灯	灯	yes	glyph patch 灯->燈
燕	U+71D5	BF50	cjk	$12C4	base-exact	燕	燕	yes	
熹	U+71B9	BF51	cjk	$29FC	base-exact	熹	熹	yes	
燎	U+71CE	BF52	cjk	$0BF9	base-exact	燎	燎	yes	
燙	U+71D9	BF53	cjk	$109E	base-t2s-ime-glyph-patch	烫	烫	yes	glyph patch 烫->燙
燜	U+71DC	BF54	cjk	$29E3	base-t2s-ime-glyph-patch	焖	焖	yes	glyph patch 焖->燜
燃	U+71C3	BF55	cjk	$0EDA	base-exact	燃	燃	yes	
獨	U+7368	BF57	cjk	$0770	base-t2s-ime-glyph-patch	独	独	yes	glyph patch 独->獨
璜	U+749C	BF58	cjk	$2813	base-exact	璜	璜	yes	
璣	U+74A3	BF59	cjk	$1FE7	base-t2s-ime-glyph-patch	玑	玑	yes	glyph patch 玑->璣
璞	U+749E	BF5C	cjk	$281C	base-exact	璞	璞	yes	
瓢	U+74E2	BF5D	cjk	$0DF4	base-exact	瓢	瓢	yes	
甌	U+750C	BF5E	cjk	$28EF	base-t2s-ime-glyph-patch	瓯	瓯	yes	glyph patch 瓯->甌
甍	U+750D	BF5F	cjk	$1BDB	base-exact	甍	甍	yes	
瘴	U+7634	BF60	cjk	$1866	base-exact	瘴	瘴	yes	
瘸	U+7638	BF61	cjk	$0ED1	base-exact	瘸	瘸	yes	
瘺	U+763A	BF62	cjk	$2BC8	base-t2s-ime-glyph-patch	瘘	瘘	yes	glyph patch 瘘->瘺
盧	U+76E7	BF63	cjk	$0C45	base-t2s-ime-glyph-patch	卢	卢	yes	glyph patch 卢->盧
盥	U+76E5	BF64	cjk	$2AB4	base-exact	盥	盥	yes	
瞠	U+77A0	BF65	cjk	$2A9C	base-exact	瞠	瞠	yes	
瞞	U+779E	BF66	cjk	$0CA5	base-t2s-ime-glyph-patch	瞒	瞒	yes	glyph patch 瞒->瞞
瞟	U+779F	BF67	cjk	$2A9B	base-exact	瞟	瞟	yes	
瞥	U+77A5	BF68	cjk	$0DF7	base-exact	瞥	瞥	yes	
磨	U+78E8	BF69	cjk	$0D13	base-exact	磨	磨	yes	
磚	U+78DA	BF6A	cjk	$1901	base-t2s-ime-glyph-patch	砖	砖	yes	glyph patch 砖->磚
磬	U+78EC	BF6B	cjk	$2A74	base-exact	磬	磬	yes	
磧	U+78E7	BF6C	cjk	$2A67	base-t2s-ime-glyph-patch	碛	碛	yes	glyph patch 碛->磧
積	U+7A4D	BF6E	cjk	$09BF	base-t2s-ime-glyph-patch	积	积	yes	glyph patch 积->積
穎	U+7A4E	BF6F	cjk	$136F	base-t2s-ime-glyph-patch	颖	颖	yes	glyph patch 颖->穎
穆	U+7A46	BF70	cjk	$0D34	base-exact	穆	穆	yes	
穌	U+7A4C	BF71	cjk	$2E18	base-t2s-ime-glyph-patch	稣	稣	yes	glyph patch 稣->穌
窺	U+7ABA	BF73	cjk	$0B70	base-t2s-ime-glyph-patch	窥	窥	yes	glyph patch 窥->窺
篙	U+7BD9	BF74	cjk	$0867	base-exact	篙	篙	yes	
篤	U+7BE4	BF77	cjk	$2CCA	base-t2s-ime-glyph-patch	笃	笃	yes	glyph patch 笃->篤
篡	U+7BE1	BF79	cjk	$06B1	base-exact	篡	篡	yes	
篩	U+7BE9	BF7A	cjk	$0F3C	base-t2s-ime-glyph-patch	筛	筛	yes	glyph patch 筛->篩
篦	U+7BE6	BF7B	cjk	$2CFB	base-exact	篦	篦	yes	
糕	U+7CD5	BF7C	cjk	$086C	base-exact	糕	糕	yes	
糖	U+7CD6	BF7D	cjk	$1099	base-exact	糖	糖	yes	
縊	U+7E0A	BF7E	cjk	$1FD1	base-t2s-ime-glyph-patch	缢	缢	yes	glyph patch 缢->縊
縑	U+7E11	BFA1	cjk	$1FD2	base-t2s-ime-glyph-patch	缣	缣	yes	glyph patch 缣->縑
縈	U+7E08	BFA2	cjk	$1BB5	base-t2s-ime-glyph-patch	萦	萦	yes	glyph patch 萦->縈
縛	U+7E1B	BFA3	cjk	$0833	base-t2s-ime-glyph-patch	缚	缚	yes	glyph patch 缚->縛
縣	U+7E23	BFA4	cjk	$11E2	base-t2s-ime-glyph-patch	县	县	yes	glyph patch 县->縣
縞	U+7E1E	BFA5	cjk	$1FCF	base-t2s-ime-glyph-patch	缟	缟	yes	glyph patch 缟->縞
縝	U+7E1D	BFA6	cjk	$1FCD	base-t2s-ime-glyph-patch	缜	缜	yes	glyph patch 缜->縝
縉	U+7E09	BFA7	cjk	$1FCC	base-t2s-ime-glyph-patch	缙	缙	yes	glyph patch 缙->縉
縐	U+7E10	BFA8	cjk	$1FAD	base-t2s-ime-glyph-patch	绉	绉	yes	glyph patch 绉->縐
罹	U+7F79	BFA9	cjk	$2AB0	base-exact	罹	罹	yes	
羲	U+7FB2	BFAA	cjk	$2D35	base-exact	羲	羲	yes	
翰	U+7FF0	BFAB	cjk	$08F8	base-exact	翰	翰	yes	
翱	U+7FF1	BFAC	cjk	$04E1	base-exact	翱	翱	yes	
翮	U+7FEE	BFAD	cjk	$2D67	base-exact	翮	翮	yes	
耨	U+8028	BFAE	cjk	$2C23	base-exact	耨	耨	yes	
膳	U+81B3	BFAF	cjk	$0F4A	base-exact	膳	膳	yes	
膩	U+81A9	BFB0	cjk	$0D6D	base-t2s-ime-glyph-patch	腻	腻	yes	glyph patch 腻->膩
膨	U+81A8	BFB1	cjk	$0DD8	base-exact	膨	膨	yes	
臻	U+81FB	BFB2	cjk	$1881	base-exact	臻	臻	yes	
興	U+8208	BFB3	cjk	$123B	base-t2s-ime-glyph-patch	兴	兴	yes	glyph patch 兴->興
艘	U+8258	BFB4	cjk	$1030	base-exact	艘	艘	yes	
艙	U+8259	BFB5	cjk	$05D1	base-t2s-ime-glyph-patch	舱	舱	yes	glyph patch 舱->艙
蕊	U+854A	BFB6	cjk	$0F11	base-exact	蕊	蕊	yes	
蕙	U+8559	BFB7	cjk	$1BE5	base-exact	蕙	蕙	yes	
蕈	U+8548	BFB8	cjk	$1BE6	base-exact	蕈	蕈	yes	
蕨	U+8568	BFB9	cjk	$1BE7	base-exact	蕨	蕨	yes	
蕩	U+8569	BFBA	cjk	$06E8	base-t2s-ime-glyph-patch	荡	荡	yes	glyph patch 荡->蕩; strict policy: canonical glyph patch for shared code $06E8
蕃	U+8543	BFBB	cjk	$1BEC	base-exact	蕃	蕃	yes	
蕉	U+8549	BFBC	cjk	$0A3C	base-exact	蕉	蕉	yes	
蕭	U+856D	BFBD	cjk	$1202	base-t2s-ime-glyph-patch	萧	萧	yes	glyph patch 萧->蕭
蕪	U+856A	BFBE	cjk	$118B	base-t2s-ime-glyph-patch	芜	芜	yes	glyph patch 芜->蕪
蕞	U+855E	BFBF	cjk	$1BE9	base-exact	蕞	蕞	yes	
螃	U+8783	BFC0	cjk	$2CAA	base-exact	螃	螃	yes	
螟	U+879F	BFC1	cjk	$0D08	base-exact	螟	螟	yes	
螞	U+879E	BFC2	cjk	$0C9A	base-t2s-ime-glyph-patch	蚂	蚂	yes	glyph patch 蚂->螞
螢	U+87A2	BFC3	cjk	$1367	base-t2s-ime-glyph-patch	萤	萤	yes	glyph patch 萤->螢
融	U+878D	BFC4	cjk	$0EF8	base-exact	融	融	yes	
衡	U+8861	BFC5	cjk	$0930	base-exact	衡	衡	yes	
褪	U+892A	BFC6	cjk	$10FA	base-exact	褪	褪	yes	
褲	U+8932	BFC7	cjk	$0B44	base-t2s-ime-glyph-patch	裤	裤	yes	glyph patch 裤->褲
褥	U+8925	BFC8	cjk	$0F0E	base-exact	褥	褥	yes	
褫	U+892B	BFC9	cjk	$2C0B	base-exact	褫	褫	yes	
褡	U+8921	BFCA	cjk	$2C05	base-exact	褡	褡	yes	
親	U+89AA	BFCB	cjk	$0E97	base-t2s-ime-glyph-patch	亲	亲	yes	glyph patch 亲->親
覦	U+89A6	BFCC	cjk	$2932	base-t2s-ime-glyph-patch	觎	觎	yes	glyph patch 觎->覦
諦	U+8AE6	BFCD	cjk	$1A7A	base-t2s-ime-glyph-patch	谛	谛	yes	glyph patch 谛->諦
諺	U+8AFA	BFCE	cjk	$12CC	base-t2s-ime-glyph-patch	谚	谚	yes	glyph patch 谚->諺
諫	U+8AEB	BFCF	cjk	$1A73	base-t2s-ime-glyph-patch	谏	谏	yes	glyph patch 谏->諫
諱	U+8AF1	BFD0	cjk	$09A6	base-t2s-ime-glyph-patch	讳	讳	yes	glyph patch 讳->諱
謀	U+8B00	BFD1	cjk	$0D23	base-t2s-ime-glyph-patch	谋	谋	yes	glyph patch 谋->謀
諜	U+8ADC	BFD2	cjk	$0739	base-t2s-ime-glyph-patch	谍	谍	yes	glyph patch 谍->諜
諧	U+8AE7	BFD3	cjk	$1223	base-t2s-ime-glyph-patch	谐	谐	yes	glyph patch 谐->諧
諾	U+8AFE	BFD5	cjk	$0D9B	base-t2s-ime-glyph-patch	诺	诺	yes	glyph patch 诺->諾
謁	U+8B01	BFD6	cjk	$1A75	base-t2s-ime-glyph-patch	谒	谒	yes	glyph patch 谒->謁
謂	U+8B02	BFD7	cjk	$1169	base-t2s-ime-glyph-patch	谓	谓	yes	glyph patch 谓->謂
諷	U+8AF7	BFD8	cjk	$07FB	base-t2s-ime-glyph-patch	讽	讽	yes	glyph patch 讽->諷
諭	U+8AED	BFD9	cjk	$1A77	base-t2s-ime-glyph-patch	谕	谕	yes	glyph patch 谕->諭
諳	U+8AF3	BFDA	cjk	$1A79	base-t2s-ime-glyph-patch	谙	谙	yes	glyph patch 谙->諳
諶	U+8AF6	BFDB	cjk	$1A72	base-t2s-ime-glyph-patch	谌	谌	yes	glyph patch 谌->諶
諼	U+8AFC	BFDC	cjk	$1A78	base-t2s-ime-glyph-patch	谖	谖	yes	glyph patch 谖->諼
豫	U+8C6B	BFDD	cjk	$13C1	base-exact	豫	豫	yes	
貓	U+8C93	BFDF	cjk	$0CB4	base-t2s-ime-glyph-patch	猫	猫	yes	glyph patch 猫->貓
賴	U+8CF4	BFE0	cjk	$0B89	base-t2s-ime-glyph-patch	赖	赖	yes	glyph patch 赖->賴
蹄	U+8E44	BFE1	cjk	$10B5	base-exact	蹄	蹄	yes	
踱	U+8E31	BFE2	cjk	$2DC0	base-exact	踱	踱	yes	
蹂	U+8E42	BFE4	cjk	$2DC3	base-exact	蹂	蹂	yes	
踹	U+8E39	BFE5	cjk	$2DBD	base-exact	踹	踹	yes	
踵	U+8E35	BFE6	cjk	$2DBE	base-exact	踵	踵	yes	
輻	U+8F3B	BFE7	cjk	$080A	base-t2s-ime-glyph-patch	辐	辐	yes	glyph patch 辐->輻
輯	U+8F2F	BFE8	cjk	$09CD	base-t2s-ime-glyph-patch	辑	辑	yes	glyph patch 辑->輯
輸	U+8F38	BFE9	cjk	$0FDC	base-t2s-ime-glyph-patch	输	输	yes	glyph patch 输->輸
輳	U+8F33	BFEA	cjk	$28E1	base-t2s-ime-glyph-patch	辏	辏	yes	glyph patch 辏->輳
辨	U+8FA8	BFEB	cjk	$0584	base-exact	辨	辨	yes	
辦	U+8FA6	BFEC	cjk	$0512	base-t2s-ime-glyph-patch	办	办	yes	glyph patch 办->辦
遵	U+9075	BFED	cjk	$1963	base-exact	遵	遵	yes	
遴	U+9074	BFEE	cjk	$1F10	base-exact	遴	遴	yes	
選	U+9078	BFEF	cjk	$1285	base-t2s-ime-glyph-patch	选	选	yes	glyph patch 选->選
遲	U+9072	BFF0	cjk	$063B	base-t2s-ime-glyph-patch	迟	迟	yes	glyph patch 迟->遲
遼	U+907C	BFF1	cjk	$0BFB	base-t2s-ime-glyph-patch	辽	辽	yes	glyph patch 辽->遼
遺	U+907A	BFF2	cjk	$130B	base-t2s-ime-glyph-patch	遗	遗	yes	glyph patch 遗->遺
鄴	U+9134	BFF3	cjk	$1AA8	base-t2s-ime-glyph-patch	邺	邺	yes	glyph patch 邺->鄴
醒	U+9192	BFF4	cjk	$1242	base-exact	醒	醒	yes	
錠	U+9320	BFF5	cjk	$0742	base-t2s-ime-glyph-patch	锭	锭	yes	glyph patch 锭->錠
鋸	U+92F8	BFF7	cjk	$0ADC	base-t2s-ime-glyph-patch	锯	锯	yes	glyph patch 锯->鋸
錳	U+9333	BFF8	cjk	$0CD8	base-t2s-ime-glyph-patch	锰	锰	yes	glyph patch 锰->錳
錯	U+932F	BFF9	cjk	$06C3	base-t2s-ime-glyph-patch	错	错	yes	glyph patch 错->錯
錢	U+9322	BFFA	cjk	$0E6E	base-t2s-ime-glyph-patch	钱	钱	yes	glyph patch 钱->錢
鋼	U+92FC	BFFB	cjk	$0860	base-t2s-ime-glyph-patch	钢	钢	yes	glyph patch 钢->鋼
錫	U+932B	BFFC	cjk	$11A9	base-t2s-ime-glyph-patch	锡	锡	yes	glyph patch 锡->錫
錄	U+9304	BFFD	cjk	$0C6A	base-t2s-ime-glyph-patch	录	录	yes	glyph patch 录->錄; strict policy: canonical glyph patch for shared code $0C6A
錚	U+931A	BFFE	cjk	$2AF3	base-t2s-ime-glyph-patch	铮	铮	yes	glyph patch 铮->錚
錐	U+9310	C040	cjk	$190E	base-t2s-ime-glyph-patch	锥	锥	yes	glyph patch 锥->錐
錦	U+9326	C041	cjk	$0A91	base-t2s-ime-glyph-patch	锦	锦	yes	glyph patch 锦->錦
錕	U+9315	C043	cjk	$2B13	base-t2s-ime-glyph-patch	锟	锟	yes	glyph patch 锟->錕
錮	U+932E	C044	cjk	$2B17	base-t2s-ime-glyph-patch	锢	锢	yes	glyph patch 锢->錮
錙	U+9319	C045	cjk	$2B1C	base-t2s-ime-glyph-patch	锱	锱	yes	glyph patch 锱->錙
閻	U+95BB	C046	cjk	$12BA	base-t2s-ime-glyph-patch	阎	阎	yes	glyph patch 阎->閻
隧	U+96A7	C047	cjk	$1061	base-exact	隧	隧	yes	
隨	U+96A8	C048	cjk	$1045	base-t2s-ime-glyph-patch	随	随	yes	glyph patch 随->隨
險	U+96AA	C049	cjk	$11DF	base-t2s-ime-glyph-patch	险	险	yes	glyph patch 险->險
雕	U+96D5	C04A	cjk	$072D	base-exact	雕	雕	yes	
霎	U+970E	C04B	cjk	$2DEA	base-exact	霎	霎	yes	
霖	U+9716	C04D	cjk	$0C0E	base-exact	霖	霖	yes	
霍	U+970D	C04E	cjk	$09B6	base-exact	霍	霍	yes	
霓	U+9713	C04F	cjk	$0D66	base-exact	霓	霓	yes	
霏	U+970F	C050	cjk	$2DE9	base-exact	霏	霏	yes	
靛	U+975B	C051	cjk	$0720	base-exact	靛	靛	yes	
靜	U+975C	C052	cjk	$0AAC	base-t2s-ime-glyph-patch	静	静	yes	glyph patch 静->靜
靦	U+9766	C053	cjk	$29A9	base-t2s-ime-glyph-patch	腼	腼	yes	glyph patch 腼->靦
鞘	U+9798	C054	cjk	$0E8A	base-exact	鞘	鞘	yes	
頰	U+9830	C055	cjk	$09F5	base-t2s-ime-glyph-patch	颊	颊	yes	glyph patch 颊->頰
頸	U+9838	C056	cjk	$0AAB	base-t2s-ime-glyph-patch	颈	颈	yes	glyph patch 颈->頸
頻	U+983B	C057	cjk	$0DF9	base-t2s-ime-glyph-patch	频	频	yes	glyph patch 频->頻
頷	U+9837	C058	cjk	$2C35	base-t2s-ime-glyph-patch	颔	颔	yes	glyph patch 颔->頷
頭	U+982D	C059	cjk	$10E7	base-t2s-ime-glyph-patch	头	头	yes	glyph patch 头->頭
頹	U+9839	C05A	cjk	$10F7	base-t2s-ime-glyph-patch	颓	颓	yes	glyph patch 颓->頹
頤	U+9824	C05B	cjk	$1309	base-t2s-ime-glyph-patch	颐	颐	yes	glyph patch 颐->頤
餐	U+9910	C05C	cjk	$05C9	base-exact	餐	餐	yes	
館	U+9928	C05D	cjk	$08C5	base-t2s-ime-glyph-patch	馆	馆	yes	glyph patch 馆->館
餞	U+991E	C05E	cjk	$0A2A	base-t2s-ime-glyph-patch	饯	饯	yes	glyph patch 饯->餞
餛	U+991B	C05F	cjk	$1DBA	base-t2s-ime-glyph-patch	馄	馄	yes	glyph patch 馄->餛
餡	U+9921	C060	cjk	$11E4	base-t2s-ime-glyph-patch	馅	馅	yes	glyph patch 馅->餡
駭	U+99ED	C062	cjk	$08ED	base-t2s-ime-glyph-patch	骇	骇	yes	glyph patch 骇->駭
駢	U+99E2	C063	cjk	$1F91	base-t2s-ime-glyph-patch	骈	骈	yes	glyph patch 骈->駢
駱	U+99F1	C064	cjk	$0C94	base-t2s-ime-glyph-patch	骆	骆	yes	glyph patch 骆->駱
骸	U+9AB8	C065	cjk	$08E7	base-exact	骸	骸	yes	
骼	U+9ABC	C066	cjk	$2E78	base-exact	骼	骼	yes	
髻	U+9AFB	C067	cjk	$2E91	base-exact	髻	髻	yes	
髭	U+9AED	C068	cjk	$2E92	base-exact	髭	髭	yes	
鮑	U+9B91	C06A	cjk	$0533	base-t2s-ime-glyph-patch	鲍	鲍	yes	glyph patch 鲍->鮑
鴕	U+9D15	C06B	cjk	$1106	base-t2s-ime-glyph-patch	鸵	鸵	yes	glyph patch 鸵->鴕
鴣	U+9D23	C06C	cjk	$2B7F	base-t2s-ime-glyph-patch	鸪	鸪	yes	glyph patch 鸪->鴣
鴦	U+9D26	C06D	cjk	$12D0	base-t2s-ime-glyph-patch	鸯	鸯	yes	glyph patch 鸯->鴦
鴨	U+9D28	C06E	cjk	$12A0	base-t2s-ime-glyph-patch	鸭	鸭	yes	glyph patch 鸭->鴨
鴛	U+9D1B	C070	cjk	$13C3	base-t2s-ime-glyph-patch	鸳	鸳	yes	glyph patch 鸳->鴛
默	U+9ED8	C071	cjk	$0D1D	base-exact	默	默	yes	
黔	U+9ED4	C072	cjk	$0E6D	base-exact	黔	黔	yes	
龍	U+9F8D	C073	cjk	$0C34	base-t2s-ime-glyph-patch	龙	龙	yes	glyph patch 龙->龍
龜	U+9F9C	C074	cjk	$08D2	base-t2s-ime-glyph-patch	龟	龟	yes	glyph patch 龟->龜
償	U+511F	C076	cjk	$0603	base-t2s-ime-glyph-patch	偿	偿	yes	glyph patch 偿->償
儡	U+5121	C077	cjk	$0BB0	base-exact	儡	儡	yes	
儲	U+5132	C078	cjk	$0678	base-t2s-ime-glyph-patch	储	储	yes	glyph patch 储->儲
勵	U+52F5	C079	cjk	$0BCC	base-t2s-ime-glyph-patch	励	励	yes	glyph patch 励->勵
嚎	U+568E	C07A	cjk	$0909	base-exact	嚎	嚎	yes	
嚀	U+5680	C07B	cjk	$1C88	base-t2s-ime-glyph-patch	咛	咛	yes	glyph patch 咛->嚀
嚅	U+5685	C07D	cjk	$1D07	base-exact	嚅	嚅	yes	
嚇	U+5687	C07E	cjk	$11CF	base-t2s-ime-glyph-patch	吓	吓	yes	glyph patch 吓->嚇
嚏	U+568F	C0A1	cjk	$10B9	base-exact	嚏	嚏	yes	
壕	U+58D5	C0A2	cjk	$0908	base-exact	壕	壕	yes	
壓	U+58D3	C0A3	cjk	$129D	base-t2s-ime-glyph-patch	压	压	yes	glyph patch 压->壓
