ext_index	char	unicode	big5	category	t2s	dfs_code	page	low	slot_source	compat_class	note
83	祕	U+7955	AFA6	cjk	秘	$146E	$14	$6E	extension-page	cjk-extension	new/expanded DFS page
84	祐	U+7950	AFA7	cjk	祐	$146F	$14	$6F	extension-page	cjk-extension	new/expanded DFS page
85	衹	U+8879	B04E	cjk	衹	$1470	$14	$70	extension-page	cjk-extension	new/expanded DFS page
86	託	U+8A17	B055	cjk	托	$1471	$14	$71	extension-page	cjk-extension	new/expanded DFS page
87	訏	U+8A0F	B058	cjk	𬣙	$1472	$14	$72	extension-page	cjk-extension	new/expanded DFS page
88	訑	U+8A11	B059	cjk	𫍙	$1473	$14	$73	extension-page	cjk-extension	new/expanded DFS page
89	軏	U+8ECF	B063	cjk	𫐄	$1474	$14	$74	extension-page	cjk-extension	new/expanded DFS page
90	迺	U+8FFA	B069	cjk	迺	$1475	$14	$75	extension-page	cjk-extension	new/expanded DFS page
91	迴	U+8FF4	B06A	cjk	回	$1476	$14	$76	extension-page	cjk-extension	new/expanded DFS page
92	陞	U+965E	B0A5	cjk	升	$1477	$14	$77	extension-page	cjk-extension	new/expanded DFS page
93	隻	U+96BB	B0A6	cjk	只	$1478	$14	$78	extension-page	cjk-extension	new/expanded DFS page
94	鬥	U+9B25	B0AB	cjk	斗	$1479	$14	$79	extension-page	cjk-extension	new/expanded DFS page
95	偺	U+507A	B0AF	cjk	偺	$147A	$14	$7A	extension-page	cjk-extension	new/expanded DFS page
96	偯	U+506F	B0C0	cjk	偯	$147B	$14	$7B	extension-page	cjk-extension	new/expanded DFS page
97	偭	U+506D	B0C1	cjk	偭	$147C	$14	$7C	extension-page	cjk-extension	new/expanded DFS page
98	唸	U+5538	B0E1	cjk	念	$147D	$14	$7D	extension-page	cjk-extension	new/expanded DFS page
99	啣	U+5563	B0E5	cjk	啣	$147E	$14	$7E	extension-page	cjk-extension	new/expanded DFS page
100	啗	U+5557	B0E8	cjk	啗	$147F	$14	$7F	extension-page	cjk-extension	new/expanded DFS page
101	屝	U+5C5D	B151	cjk	屝	$1480	$14	$80	extension-page	cjk-extension	new/expanded DFS page
102	崑	U+5D11	B158	cjk	昆	$1481	$14	$81	extension-page	cjk-extension	new/expanded DFS page
103	崙	U+5D19	B15B	cjk	仑	$1482	$14	$82	extension-page	cjk-extension	new/expanded DFS page
104	彫	U+5F6B	B16E	cjk	雕	$1483	$14	$83	extension-page	cjk-extension	new/expanded DFS page
105	悽	U+60BD	B17E	cjk	凄	$1484	$14	$84	extension-page	cjk-extension	new/expanded DFS page
106	惇	U+60C7	B1AC	cjk	惇	$1485	$14	$85	extension-page	cjk-extension	new/expanded DFS page
107	捲	U+6372	B1B2	cjk	卷	$1486	$14	$86	extension-page	cjk-extension	new/expanded DFS page
108	掛	U+639B	B1BE	cjk	挂	$1487	$14	$87	extension-page	cjk-extension	new/expanded DFS page
